code,product_name,brand_name,brand_id,brand_segment
5013965698897,1,1,0,mass_market
88582000939,2,1,0,mass_market
0650240025396,zan zusi b b flash 30,1,0,mass_market
3560070084074,deo men marine,1 de carrefour,1,mass_market
6134598000044,savon liquide main life,100 da,2,mass_market
5943044010046,gerocossen,12,3,mass_market
20546472,cien,12,3,mass_market
3700216252688,glycerine vegetale,123gelules,4,mass_market
8859423200212,habino,13000,5,mass_market
6130460000747,,150da,6,mass_market
5600380895293,l citrulline malate,150g,7,mass_market
3574661599281,johnson baby wipes 2yrs prod,168 pcs,8,mass_market
3600523709649,elseve rapid restore,180 ml,9,mass_market
8710871392327,balsam tissues,1debeste,10,mass_market
0850028447840,full mega,1st phorm,11,mass_market
0633911616277,1,2,12,mass_market
0716237185600,frizz be gone leave in conditioning styling elixir,2 chic,13,mass_market
8718481351000,aloe vera,2025,14,mass_market
0740985223901,sentry senior,21 century,15,mass_market
8436567350524,night recovery cream,226ers,16,mass_market
4056489668916,toilet paper,2752 g,17,mass_market
3525727539420,color soin 6 g blond fonce dore,3 chenes,18,mass_market
3525727539444,color et soin,3 chenes beaute,19,mass_market
4015000934831,ch gliss,300 da,20,mass_market
99482463069,foaming hand soap,365 whole foods,21,middle
99482496517,mint garden hand soap,365 whole foods market,22,mass_market
99482503178,volume thickness shampoo,365 whole foods market,22,mass_market
2000000132959,head shoulders 400,395,23,mass_market
4987176082152,oral b,3d white,24,mass_market
8711600477650,axe gel douche homme 3 en 1 lendemain difficile reveil detox 2x250ml,3en1,25,mass_market
8906017461433,moxifloxacin with dexamethasone,4 quin d,27,mass_market
3221774788773,a supprimer revlon,45 days total color care,28,mass_market
7798175712332,rebel love candy rush,47 street,29,mass_market
4011700740338,original eau de cologne,4711,30,mass_market
4011700740277,original eau de cologne,4711,30,mass_market
41100313,narta,48h,31,mass_market
4270001680914,daumenschmaus,4people who care,32,mass_market
4102968000415,dentifrice,50 ml,33,mass_market
8437012718043,procurves plus,500cosmetics by natural logistics,34,mass_market
2634803,pao artesanal milho,50g,35,mass_market
8901012113370,johnson baby oil,50g,35,mass_market
3560234511408,cotton swabs,5five,36,mass_market
3600551054544,creme douche surgras,7,37,mass_market
6134102000119,lingettes ultra baby,72 lingette,38,mass_market
4630079503155,7days,7days,39,mass_market
83800049004,pletova maska granatove jablko,7th heaven,40,mass_market
83800065479,under eye hydrogel patches,7th heaven,40,mass_market
8380000469,concombre masque a peler ultra desincrustant,7th heaven,40,mass_market
5397209636495,kitten face mask,7thheaven,41,mass_market
6111604627624,dove,8,42,mass_market
8411061804988,blue seduction,8411061804988,44,mass_market
0850028996195,daily greens,8greens,45,mass_market
4048422101628,shampoing pour chien,8in1,46,mass_market
4005900185259,pure 8x4,8x4,47,mass_market
4005900982162,fresh lime,8x4,47,mass_market
42389149,anti transpirant my personalized protection no 9,8x4,47,mass_market
4005900855763,wild oak,8x4 men,48,mass_market
4005900855848,dark forest deodorant,8x4 men,48,mass_market
3770018286228,dentifrice a croquer menthe douce,900 care,49,mass_market
3770018286150,gel douche a dissoudre,900 care,49,mass_market
3770018286013,dentifrice arome menthe extra fraiche,900 care,49,mass_market
3760346073027,dentifrice en pastilles fraise,900 care,49,mass_market
3760346074611,dentifrice en pastille,900 care,49,mass_market
3760346074598,liquide vaisselle,900 care,49,mass_market
3760346072747,shampoing nourrissant,900 care,49,mass_market
